"gene_id","pbs","auxin","pbs.1","pbs.2","pbs.3","auxin.1","auxin.2","auxin.3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"micropia",101.534558220458,121.459689221433,110.634006077758,64.2650133006963,129.70465528292,158.611824973102,52.4835062365656,153.28373645463,111.497123720945,0.0283660658629191,0.127394832107169,0.544048689076231,0.988835539494147
"NOF",4.66392378242956,5.83168923924149,2.16929423681878,8.68446125685085,3.13801585361904,3.68864709239773,10.8586564627377,2.94776416258903,5.24780651083552,0.00658125964206037,0.132385995739553,0.713839775125005,0.988835539494147
"opus",199.791688624151,188.014607172051,209.336893853012,220.585315924012,169.452856095428,250.828002283045,162.879846941066,150.335972292041,193.9031478981,-0.01749449465628,0.123000288697199,0.726017587746282,0.988835539494147
"Osvaldo",2.52884196700423,2.48786642597112,2.71161779602347,1.73689225137017,3.13801585361904,3.68864709239773,1.80977607712295,1.96517610839269,2.50835419648767,-0.000245880909223901,0.132738300379156,0.980987638387051,0.988835539494147
"P-element",8.26653356583762,10.4228792635277,11.9311183025033,8.68446125685085,4.18402113815872,12.910264823392,3.6195521542459,14.7388208129451,9.34470641468265,0.00867173202654347,0.132041674318396,0.66779914369627,0.988835539494147
"pogo",77.7788464915884,54.166498192149,76.4676218478618,102.47664283084,54.3922747960633,36.2716964085776,63.3421626993033,62.885635468566,65.9726723418687,-0.0600859576586116,0.144171659574012,0.169252210250707,0.988835539494147
"Porto1",38.7273766144908,20.4848680184498,24.4045601642112,72.9494745575471,18.8280951217142,14.1398138541913,32.5759693882131,14.7388208129451,29.6061223164704,-0.0624823972662325,0.149151050608753,0.0980470147434335,0.988835539494147
"Q-element",0.361549039469797,0,1.08464711840939,0,0,0,0,0,0.180774519734898,-0.00129874782574591,0.133377609118784,0.761302522778188,0.988835539494147
"Quasimodo",52.3117302821703,57.3307030162298,49.3514438876271,41.6854140328841,65.8983329259998,38.7307944701761,61.5323866221803,71.7289279563331,54.8212166492001,0.00880034286022479,0.126506001222029,0.829526817149551,0.988835539494147
"R1-2",3.73629127045961,5.0885734925876,2.16929423681878,6.94756900548068,2.09201056907936,9.83639224639394,5.42932823136885,0,4.4124323815236,0.00138556695627725,0.13268252314419,0.918951016970623,0.988835539494147
"R1A1-element",315.610277887235,400.846690294043,894.29154912854,29.5271682732929,23.012116259873,1170.53067732088,16.2879846941066,15.7214088671415,358.228484090639,-0.0172215184948812,0.126898961444108,0.679122844319668,0.988835539494147
"R2-element",25.2146926591953,40.2082662097918,45.0128554139896,13.8951380109614,16.7360845526349,79.3059124865511,10.8586564627377,30.4602296800866,32.7114794344935,0.0421253342779956,0.137925513295836,0.231531166414783,0.988835539494147
"roo",16184.9120300742,31285.9664358457,22848.0915492937,12764.4211553194,12942.2233856095,41700.1553795563,22394.1691783194,29763.5747496614,23735.43923296,0.826722043681516,0.263985893536562,7.80933030790126e-05,0.00491987809397779
"rooA",129.492301356918,211.4743298599,123.64977149867,137.214487858243,127.612644713841,174.595962373492,171.92872732668,287.898299879529,170.483315608409,0.162453971622961,0.25898150015231,0.0294266992826057,0.926941027402079
"rover",254.09603556669,211.12927458982,203.913658260965,333.483312263073,224.891136176031,134.020844357117,329.379246036377,169.987733375967,232.612655078255,-0.0674255502167314,0.140445412628743,0.225937852727223,0.988835539494147
"Rt1a",60.7963806521213,67.8540301379265,106.837741163325,29.5271682732929,46.0242325197459,129.71742274932,32.5759693882131,41.2686982762464,64.3252053950238,0.0108975987286349,0.12629478326914,0.79475047301884,0.988835539494147
